team.name,ranking,games_played
Norway Women's,9,4
New Zealand Women's,17,3
Australia Women's,4,7
Republic of Ireland Women's,17,3
Switzerland Women's,9,4
Philippines Women's,17,3
Canada Women's,17,3
Nigeria Women's,9,4
Spain Women's,1,7
Costa Rica Women's,17,3
United States Women's,9,4
Vietnam Women's,17,3
Zambia Women's,17,3
Japan Women's,5,5
England Women's,2,7
Haiti Women's,17,3
Denmark Women's,9,4
China PR Women's,17,3
Sweden Women's,3,7
South Africa Women's,9,4
Portugal Women's,17,3
Netherlands Women's,5,5
France Women's,5,5
Jamaica Women's,9,4
Morocco Women's,9,4
Germany Women's,17,3
Argentina Women's,17,3
Italy Women's,17,3
Brazil Women's,17,3
Panama Women's,17,3
Korea Republic Women's,17,3
Colombia Women's,5,5
