team.name,ranking,games_played,wins,draws,goal_diff,continent
Spain Women's,1,7,6,0,11,Europe
England Women's,2,7,5,1,9,Europe
Sweden Women's,3,7,5,1,10,Europe
Japan Women's,5,5,4,0,12,Asia
Australia Women's,4,7,3,1,2,Australia
Colombia Women's,5,5,3,0,2,SA
France Women's,5,5,3,2,8,Europe
Netherlands Women's,5,5,3,1,9,Europe
Denmark Women's,9,4,2,0,0,Europe
Morocco Women's,9,4,2,0,-8,Africa
Jamaica Women's,9,4,1,2,0,NA
Nigeria Women's,9,4,1,3,1,Africa
Norway Women's,9,4,1,1,3,Europe
South Africa Women's,9,4,1,1,-2,Africa
Switzerland Women's,9,4,1,2,-2,Europe
United States Women's,9,4,1,3,3,NA
Brazil Women's,17,3,1,1,3,SA
Canada Women's,17,3,1,1,-3,NA
Germany Women's,17,3,1,1,5,Europe
Italy Women's,17,3,1,0,-5,Europe
New Zealand Women's,17,3,1,1,0,Australia
Portugal Women's,17,3,1,1,1,Europe
Zambia Women's,17,3,1,0,-8,Africa
China PR Women's,17,3,1,0,-5,Asia
Philippines Women's,17,3,1,0,-7,Asia
Argentina Women's,17,3,0,1,-3,SA
Costa Rica Women's,17,3,0,0,-7,SA
Haiti Women's,17,3,0,0,-4,NA
Korea Republic Women's,17,3,0,1,-3,Asia
Panama Women's,17,3,0,0,-8,SA
Republic of Ireland Women's,17,3,0,1,-2,Europe
Vietnam Women's,17,3,0,0,-12,Asia
